onset	duration	trial_type	trial_name	stim_file	stim_file_index
263.950	0.500	30	VERTICAL-L-R-28	prf_stim_028.png	28
264.800	0.500	38	HORIZONTAL-U-D-8	prf_stim_189.png	189
265.650	0.500	69	DIAGONAL-RD-LU-11	prf_stim_039.png	39
266.500	0.500	84	DIAGONAL-LU-RD-2	prf_stim_142.png	142
267.350	0.500	96	DIAGONAL-RU-LD-2	prf_stim_198.png	198
268.200	0.500	105	DIAGONAL-RU-LD-11	prf_stim_207.png	207
269.050	0.500	32	HORIZONTAL-U-D-2	prf_stim_195.png	195
269.900	0.500	34	HORIZONTAL-U-D-4	prf_stim_193.png	193
270.750	0.500	91	DIAGONAL-LU-RD-9	prf_stim_149.png	149
271.600	0.500	26	VERTICAL-L-R-24	prf_stim_024.png	24
272.450	0.500	29	VERTICAL-L-R-27	prf_stim_114.png	114
273.300	0.500	21	VERTICAL-L-R-19	prf_stim_019.png	19
274.150	0.500	50	HORIZONTAL-U-D-20	prf_stim_177.png	177
275.000	0.500	255	BLANK	prf_stim_000.png	224
