onset	duration	trial_name	trial_type	stim_file
398.000	0.200	BOLDSAT_0.33Hz	33	../circle/images/green_circle.png
401.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
404.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
416.000	0.200	BOLDSAT_1.83Hz	183	../circle/images/green_circle.png
416.545	0.200	BOLDSAT	1	../circle/images/green_circle.png
417.091	0.200	BOLDSAT	1	../circle/images/green_circle.png
417.636	0.200	BOLDSAT	1	../circle/images/green_circle.png
418.182	0.200	BOLDSAT	1	../circle/images/green_circle.png
418.727	0.200	BOLDSAT	1	../circle/images/green_circle.png
419.273	0.200	BOLDSAT	1	../circle/images/green_circle.png
419.818	0.200	BOLDSAT	1	../circle/images/green_circle.png
420.364	0.200	BOLDSAT	1	../circle/images/green_circle.png
420.909	0.200	BOLDSAT	1	../circle/images/green_circle.png
421.455	0.200	BOLDSAT	1	../circle/images/green_circle.png
422.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
434.000	0.200	BOLDSAT_0.33Hz	33	../circle/images/green_circle.png
437.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
440.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
452.000	0.200	BOLDSAT_1.83Hz	183	../circle/images/green_circle.png
452.545	0.200	BOLDSAT	1	../circle/images/green_circle.png
453.091	0.200	BOLDSAT	1	../circle/images/green_circle.png
453.636	0.200	BOLDSAT	1	../circle/images/green_circle.png
454.182	0.200	BOLDSAT	1	../circle/images/green_circle.png
454.727	0.200	BOLDSAT	1	../circle/images/green_circle.png
455.273	0.200	BOLDSAT	1	../circle/images/green_circle.png
455.818	0.200	BOLDSAT	1	../circle/images/green_circle.png
456.364	0.200	BOLDSAT	1	../circle/images/green_circle.png
456.909	0.200	BOLDSAT	1	../circle/images/green_circle.png
457.455	0.200	BOLDSAT	1	../circle/images/green_circle.png
458.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
470.000	0.200	BOLDSAT_0.83Hz	83	../circle/images/green_circle.png
471.200	0.200	BOLDSAT	1	../circle/images/green_circle.png
472.400	0.200	BOLDSAT	1	../circle/images/green_circle.png
473.600	0.200	BOLDSAT	1	../circle/images/green_circle.png
474.800	0.200	BOLDSAT	1	../circle/images/green_circle.png
476.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
488.000	0.200	BOLDSAT_1.83Hz	183	../circle/images/green_circle.png
488.545	0.200	BOLDSAT	1	../circle/images/green_circle.png
489.091	0.200	BOLDSAT	1	../circle/images/green_circle.png
489.636	0.200	BOLDSAT	1	../circle/images/green_circle.png
490.182	0.200	BOLDSAT	1	../circle/images/green_circle.png
490.727	0.200	BOLDSAT	1	../circle/images/green_circle.png
491.273	0.200	BOLDSAT	1	../circle/images/green_circle.png
491.818	0.200	BOLDSAT	1	../circle/images/green_circle.png
492.364	0.200	BOLDSAT	1	../circle/images/green_circle.png
492.909	0.200	BOLDSAT	1	../circle/images/green_circle.png
493.455	0.200	BOLDSAT	1	../circle/images/green_circle.png
494.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
506.000	0.200	BOLDSAT_0.83Hz	83	../circle/images/green_circle.png
507.200	0.200	BOLDSAT	1	../circle/images/green_circle.png
508.400	0.200	BOLDSAT	1	../circle/images/green_circle.png
509.600	0.200	BOLDSAT	1	../circle/images/green_circle.png
510.800	0.200	BOLDSAT	1	../circle/images/green_circle.png
512.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
524.000	0.200	BOLDSAT_1.33Hz	133	../circle/images/green_circle.png
524.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
525.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
526.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
527.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
527.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
528.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
529.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
530.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
542.000	0.200	BOLDSAT_1.83Hz	183	../circle/images/green_circle.png
542.545	0.200	BOLDSAT	1	../circle/images/green_circle.png
543.091	0.200	BOLDSAT	1	../circle/images/green_circle.png
543.636	0.200	BOLDSAT	1	../circle/images/green_circle.png
544.182	0.200	BOLDSAT	1	../circle/images/green_circle.png
544.727	0.200	BOLDSAT	1	../circle/images/green_circle.png
545.273	0.200	BOLDSAT	1	../circle/images/green_circle.png
545.818	0.200	BOLDSAT	1	../circle/images/green_circle.png
546.364	0.200	BOLDSAT	1	../circle/images/green_circle.png
546.909	0.200	BOLDSAT	1	../circle/images/green_circle.png
547.455	0.200	BOLDSAT	1	../circle/images/green_circle.png
548.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
560.000	0.200	BOLDSAT_1.33Hz	133	../circle/images/green_circle.png
560.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
561.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
562.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
563.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
563.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
564.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
565.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
566.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
578.000	0.200	BOLDSAT_0.33Hz	33	../circle/images/green_circle.png
581.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
584.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
596.000	0.200	BOLDSAT_0.33Hz	33	../circle/images/green_circle.png
599.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
602.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
614.000	0.200	BOLDSAT_1.33Hz	133	../circle/images/green_circle.png
614.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
615.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
616.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
617.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
617.750	0.200	BOLDSAT	1	../circle/images/green_circle.png
618.500	0.200	BOLDSAT	1	../circle/images/green_circle.png
619.250	0.200	BOLDSAT	1	../circle/images/green_circle.png
620.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
632.000	0.200	BOLDSAT_0.33Hz	33	../circle/images/green_circle.png
635.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
638.000	0.200	BOLDSAT	1	../circle/images/green_circle.png
650.000	0.200	BOLDSAT_1.83Hz	183	../circle/images/green_circle.png
